name,city,lat,lon,type
La Bodega,Casablanca,33.5952195,-7.6115725,restaurant
La Sqala,Casablanca,33.6028481,-7.619212,restaurant
Pizza Hut,Casablanca,33.5928474,-7.597267,restaurant
Chez Pépé,Casablanca,33.595533,-7.6454829,restaurant
Paradisio,Casablanca,33.5938278,-7.5969183,restaurant
Mamelouk Café,Casablanca,33.5962988,-7.6304773,restaurant
Luigi,Casablanca,33.5882356,-7.6398452,restaurant
Don Camilo,Casablanca,33.587649,-7.612959,restaurant
Rick's Cafe,Casablanca,33.604995,-7.620406,restaurant
Restaurant du Port,Casablanca,33.6015279,-7.6144679,restaurant
Restaurant Ostrea,Casablanca,33.6018149,-7.614031,restaurant
Le Cabestan,Casablanca,33.6080257,-7.6553304,restaurant
Lebanese Restaurant,Casablanca,33.6007855,-7.6603997,restaurant
Luigi,Casablanca,33.5966434,-7.6750589,restaurant
Sijilmassa سجلماسة,Casablanca,33.5909207,-7.6791755,restaurant
La Grillardière,Casablanca,33.5832948,-7.6418718,restaurant
pizzeria italian,Casablanca,33.5810317,-7.6370564,restaurant
Monsieur Brochettes,Casablanca,33.5703274,-7.6663165,restaurant
Chawarma Nour esham شاورما نور الشام,Casablanca,33.6011445,-7.634303,restaurant
Pizza Hut,Casablanca,33.5443065,-7.6413493,restaurant
potchi,Casablanca,33.5973488,-7.6273398,restaurant
India Palace,Casablanca,33.5917889,-7.6391526,restaurant
Chez Omar,Casablanca,33.5974462,-7.635698,restaurant
Seven 7 Days,Casablanca,33.5970619,-7.6382193,restaurant
La Toscana,Casablanca,33.5885888,-7.6385756,restaurant
Pomme de Pain,Casablanca,33.588034,-7.6401077,restaurant
"Nori, Restaurent Japonais",Casablanca,33.5731692,-7.6567852,restaurant
La grotte du pêcheur,Casablanca,33.5918245,-7.6266906,restaurant
Keykos,Casablanca,33.5924545,-7.6270366,restaurant
Baleno,Casablanca,33.582573,-7.614684,restaurant
Ait toufawt,Casablanca,33.5939034,-7.5816157,restaurant
La Grillardiere,Casablanca,33.5887094,-7.628123,restaurant
Fratelli,Casablanca,33.5930227,-7.627037,restaurant
La perle du liban,Casablanca,33.5947844,-7.6282046,restaurant
Monsieur Brochettes,Casablanca,33.5948135,-7.6274321,restaurant
Restaurant King Burger,Casablanca,33.5953217,-7.6256267,restaurant
Dominos Pizza,Casablanca,33.5734363,-7.6116139,restaurant
Restaurant West Atlantic,Casablanca,33.5675139,-7.7095158,restaurant
Restaurant Rouget de l'Isle,Casablanca,33.5926824,-7.6228688,restaurant
Alae,Casablanca,33.5934314,-7.6240699,restaurant
Kalinka,Casablanca,33.5942124,-7.6249351,restaurant
12 Cool,Casablanca,33.5930752,-7.6271159,restaurant
Bistronome,Casablanca,33.5930876,-7.6267545,restaurant
Oukaimeden,Casablanca,33.5911393,-7.6150735,restaurant
Le Cardinal,Casablanca,33.5956364,-7.6171591,restaurant
Snack Addou Maddou,Casablanca,33.5932039,-7.6186518,restaurant
Restaurant les Arcades,Casablanca,33.5935525,-7.6185955,restaurant
La Taverne du Dauphin,Casablanca,33.598736,-7.6151053,restaurant
Little Barton's,Casablanca,33.5997377,-7.6650484,restaurant
Casa José,Casablanca,33.5978725,-7.615386,restaurant
Porte Mansour ⴱⴰⴱ ⵎⵏⵚⵓⵕ باب منصور,Casablanca,33.5592404,-7.6699846,restaurant
Tacos de Lyon,Casablanca,33.6007185,-7.6341062,restaurant
Bistrot Chic,Casablanca,33.5884913,-7.6273923,restaurant
Sojou,Casablanca,33.589095,-7.6297476,restaurant
Blend,Casablanca,33.5886833,-7.6319196,restaurant
Khos,Casablanca,33.5840347,-7.6205679,restaurant
brasserie san jose,Casablanca,33.5978396,-7.6155008,restaurant
Asia,Casablanca,33.5991745,-7.6130528,restaurant
Ôgi Souchi,Casablanca,33.599424,-7.6141726,restaurant
El Barocco Time,Casablanca,33.5954492,-7.6163427,restaurant
Le Pilotis,Casablanca,33.596662,-7.6734143,restaurant
Restaurant de la Place / Le Voyageur,Casablanca,33.5897214,-7.592208,restaurant
Puerto Rico,Casablanca,33.5896015,-7.6149002,restaurant
Awafi,Casablanca,33.5916822,-7.6149169,restaurant
Pomme de Pain Ziraoui,Casablanca,33.5936551,-7.6352553,restaurant
La Bavaroise,Casablanca,33.5952135,-7.6113257,restaurant
Restaurant Le Nouveau Dragon,Casablanca,33.5956652,-7.6125814,restaurant
Snack Pizzeria Bella Maria,Casablanca,33.6155331,-7.4843667,restaurant
Carrefour des Saveurs,Casablanca,33.595159,-7.5913872,restaurant
Espace Tifawine,Casablanca,33.5861039,-7.6489235,restaurant
La Storia,Casablanca,33.5946859,-7.6679576,restaurant
O'lichi,Casablanca,33.591863,-7.6345249,restaurant
Al-Mounia,Casablanca,33.5909223,-7.6164407,restaurant
La Cantine de Charlotte,Casablanca,33.5921096,-7.6288039,restaurant
Rouge et Blanc أحمر و ابيض,Casablanca,33.5915512,-7.615164,restaurant
Route 66,Casablanca,33.5728964,-7.6552882,restaurant
Cosa Mia,Casablanca,33.5857707,-7.6355685,restaurant
Pizza Hut,Casablanca,33.5962863,-7.6144369,restaurant
les Fleurs,Casablanca,33.5966374,-7.6149916,restaurant
Midway,Casablanca,33.588864,-7.628391,restaurant
Yo Ti Tam,Casablanca,33.5759859,-7.6476182,restaurant
Croc Pizza كروك بيتزا,Casablanca,33.619789,-7.5326657,restaurant
H & B Food,Casablanca,33.5713686,-7.6450329,restaurant
Chez Marny,Casablanca,33.5609277,-7.6467836,restaurant
Yammy,Casablanca,33.5885241,-7.611296,restaurant
Snack amine,Casablanca,33.5766703,-7.6334533,restaurant
Cosa Mia,Casablanca,33.5942298,-7.6435836,restaurant
Gzoum كَزّوم,Casablanca,33.5677841,-7.5995875,restaurant
Salsa,Casablanca,33.5925128,-7.6166956,restaurant
La grillardiere,Casablanca,33.6071887,-7.5437586,restaurant
سناك دعاء,Casablanca,33.5474032,-7.5746211,restaurant
Class Dish Coffee Shop,Casablanca,33.5901754,-7.630709,restaurant
Restaurant Etoile Centrale,Casablanca,33.5953324,-7.6121111,restaurant
adwak اذواق,Casablanca,33.6096078,-7.5421005,restaurant
La Cantine,Casablanca,33.5352248,-7.6400077,restaurant
Osteria,Casablanca,33.6128314,-7.530422,restaurant
La Sala,Casablanca,33.593796,-7.6009733,restaurant
City Palace,Casablanca,33.5936446,-7.6022226,restaurant
Adib Food,Casablanca,33.5906473,-7.6035677,restaurant
Dragon Bleu,Casablanca,33.5946578,-7.6043656,restaurant
